"b'""literal"""	"""predicate_id"""	"""object_id"""	"""mapping_justification"""	"""mapping_provider"""	"""author_label"""	"""mapping_date"""
"""Increased number of filopodia"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000076"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Accumulation of GFP-RNF168 on nuclear bodies"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000126"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Accumulation of GFP-RNF168 on nuclear bodies"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000335"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Increased cell size"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000128"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""small nucleus"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000141"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Decreased peripheral actin"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000273"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Grape"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000156"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Reduction in IR-induced 53BP1 foci in HeLa cells"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000180"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Reduction in IR-induced 53BP1 foci in HeLa cells"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000181"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Increased number of actin stress fibers"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000289"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Polylobed"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000157"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""BL phenotype"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000128"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""BL phenotype"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000154"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Small cells"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000129"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Lamellipodia cells"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000083"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Increased actin over nucleus"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000294"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Microtubule nuclear bracket"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000287"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Increased nuclear actin"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000294"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""Motile lamellae"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000278"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""cell migration"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000033"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
"""different NF-kB  oscillation pattern"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/cmpo/CMPO_0000333"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/fg/sym"""	"""Gabriella Rustici"""	2013-11-22T12:00:00
